Category,Difficulty,Time,Description,Website
Home Renovation,Easy,1-2 hrs,Master a few simple painting techniques to transform your home with color,https://www.homedepot.com/c/painting_techniques_for_interior_walls_HT_PG_PA
Home Renovation,Easy,2-4 hrs,Prevent leaks and save money with new supply tubes for your sink  ,https://www.homedepot.com/c/project_guide_connecting_faucets_with_supply_tubes_HT_PG_PL
Home Renovation,Easy,2 hrs,Save water and eliminate leaks with a new flush valve in your toilet,https://www.homedepot.com/c/project_guide_toilet_flush_valve_replacement_HT_PG_PL
Home Renovation,Intermediate,1-2 hrs,Learn how to install a toilet or remove an old one quickly and correctly,https://www.homedepot.com/c/how_to_install_toilet_HT_PG_PL
Home Renovation,Intermediate,1-2 hrs,Protect your home from electrical fires with one simple addition,https://www.homedepot.com/c/how_to_install_an_afci_breaker_HT_PG_EL
Home Renovation,Intermediate,Day,Learn the basic steps to follow when installing hardwood flooring,https://www.homedepot.com/c/how_to_install_hardwood_floors_HT_PG_FL
Home Renovation,Advanced,2-4 hrs,Replace an old shower faucet and adjust the water temperature,https://www.homedepot.com/c/shower_faucet_replacement_six_professional_steps_HT_PG_BA
Home Renovation,Advanced,Day,Increase your storage space and improve your kitchen’s appearance with wall cabinets,https://www.homedepot.com/c/how_to_install_wall_cabinets_HT_PG_KI
Home Renovation,Advanced,Day,Prepare your home for additional wiring by installing a new circuit,https://www.homedepot.com/c/six_steps_to_install_a_new_circuit_HT_PG_EL
Home Maintenance,Easy,1-2 hrs,"Keep your garage door opener functioning properly with simple periodic maintenance
",https://www.homedepot.com/c/how_to_maintain_garage_door_openers_HT_PG_BM
Home Maintenance,Easy,1-2 hrs,"Learn how to use caulk for professional-looking results throughout your home
",https://www.homedepot.com/c/how_to_caulk_HT_PG_PA
Home Maintenance,Easy,Under 2 hrs,"Prepare for cool weather and save money with these simple tips
",https://www.homedepot.com/c/weatherize_your_home_HT_PG_TH
Home Maintenance,Easy,1-2 hrs,"Create a range of subtle variations in lighting with a dimmer switch
",https://www.homedepot.com/c/how_to_install_a_dimmer_switch_in_fourty_five_minutes_video_HT_PG_EL
Home Maintenance,Intermediate,1-2 hrs,"Follow these simple steps to fix a leaky toilet tank
",https://www.homedepot.com/c/how_to_fix_a_toilet_tank_HT_PG_PL
Home Maintenance,Intermediate,1-2 hrs,"Remove an old or broken toilet in 6 easy steps
",https://www.homedepot.com/c/how_to_remove_a_toilet_HT_PG_PL
Home Maintenance,Intermediate,2-4 hrs,"Almost any garage door opener you buy will open any garage door in America
",https://www.homedepot.com/c/how_to_install_garage_door_opener_HT_PG_DW
Home Maintenance,Advanced,Day,"Enjoy energy savings by weatherproofing your windows
",https://www.homedepot.com/c/steps_to_weatherproofing_your_windows_HT_PG_BM
Home Maintenance,Advanced,Day,"Give your home an easy makeover by installing a new entry door
",https://www.homedepot.com/c/how_to_install_an_entry_door_perfectly_HT_PG_DW
Home Maintenance,Advanced,Day,"Install a new window or replace a damaged one in a few simple steps
",https://www.homedepot.com/c/how_to_install_window_HT_PG_DW
